178	0	0	0	0	0	0	0	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0
13417	0	0	0	0	0	8.3	0	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0
2301	0	0	0	5.1	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0
777	0	0	0	0	0	7.8	0	7.8	0	0	0	0	0	0	0	7.8	0	0	0	0	0
7	0	0	0	0	5.7	0	0	0	0	0	0	0	0	0	0	5.7	0	0	0	0	0
1440	0	0	0	0	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22440	0	0	0	0	0	0	0	8.2	0	0	0	0	8.2	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0
295	0	0	0	0	4.3	4.3	0	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0
504	0	0	0	0	4.2	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	7.3	0	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0	0	0	0	7.3	0
10653	7.4	0	0	0	0	0	0	7.4	0	0	7.4	0	0	0	0	0	0	0	0	0	0
12049	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0
85	7.4	0	0	0	0	0	0	7.4	0	0	0	0	0	0	0	7.4	0	0	0	0	0
7361	6.5	0	0	6.5	0	0	0	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0
562	4.6	0	0	0	0	0	0	4.6	0	0	0	0	0	0	0	4.6	0	0	0	0	0
5549	0	0	0	6.1	0	0	0	6.1	0	0	0	0	0	0	0	0	0	0	0	0	0
9106	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	3.6	0	0	0	0	0
5758	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
43	7	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
12671	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	2.5	0	0	2.5	0	0
1064	5.3	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13972	0	0	0	8.2	0	0	0	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0
4817	4.3	4.3	0	0	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4572	3.3	0	0	0	3.3	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0
2391	0	0	0	0	0	0	0	6.9	0	0	0	0	0	0	0	6.9	0	0	0	0	0
676	4.1	0	0	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3269	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0
2322	7.5	0	0	0	0	7.5	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0
1902	0	0	0	8.9	0	0	0	8.9	0	0	0	0	0	0	0	0	0	0	0	0	0
1891	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
5524	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	8	0
333	0	0	0	0	0	0	0	8.4	0	0	0	0	0	0	0	8.4	0	0	0	0	0
590	6.8	0	0	0	0	6.8	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8	0
15499	0	0	0	0	0	7.9	0	7.9	0	0	0	0	0	0	7.9	0	0	0	0	0	0
1841	0	0	0	0	0	8.4	0	8.4	0	0	0	0	0	0	0	0	0	0	0	0	0
215	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	0	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	0	0	0	3.7	0
35112	8.4	0	0	0	0	0	0	8.4	0	0	0	0	0	0	0	0	0	0	0	0	8.4
683	0	0	0	0	4.1	0	0	4.1	0	0	0	0	0	0	0	4.1	0	0	0	0	0
235	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	2.8	0
1449	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0
5466	0	0	0	0	6.8	0	0	6.8	0	0	0	0	0	0	0	6.8	0	0	0	0	0
5387	0	0	0	0	6.6	0	0	0	0	0	0	0	0	0	0	6.6	0	0	0	0	0
272	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
767	4.2	0	0	0	4.2	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0
5556	7.3	0	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0	0	0	0	7.3	0
895	9.4	0	0	0	0	0	0	9.4	0	0	0	0	0	0	0	0	0	0	0	0	0
1659	0	0	0	0	0	0	0	6.6	6.6	0	0	0	0	0	0	6.6	0	0	0	0	0
